Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Homage","SL","Everything Good Is Bad","Favorite Tracks","Favorite","667969142","667969142"
"Oh Please","SL","Everything Good Is Bad","Favorite Tracks","Favorite","667969162","667969162"
"Tropical","SL","Tropical","Favorite Tracks","Favorite","442568242","442568242"
"OG Beeper","A$AP Rocky","TESTING","Favorite Tracks","Favorite","503169212","503169212"
"Distorted Records","A$AP Rocky","TESTING","Favorite Tracks","Favorite","503169122","503169122"
"Electric Body (feat. ScHoolboy Q)","A$AP Rocky","AT.LONG.LAST.A$AP","Favorite Tracks","Favorite","100835978","100835978"
"Phoenix","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422622","623422622"
"Long Live A$AP","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422512","623422512"
"Sum 2 Prove","Lil Baby","Sum 2 Prove","Favorite Tracks","Favorite","848579892","848579892"
"No Surburban","Sheff G","No Surburban","Favorite Tracks","Favorite","381487321","381487321"
"GET MONEY BROS.","Lil Yachty","Lil Boat 2","Favorite Tracks","Favorite","468974902","468974902"
"OOPS","Lil Yachty","Lil Boat 2","Favorite Tracks","Favorite","468974882","468974882"
"SELF MADE","Lil Yachty","Lil Boat 2","Favorite Tracks","Favorite","468974862","468974862"
"Adore Me","Lil Yachty","The Lost Files","Favorite Tracks","Favorite","436902352","436902352"
"King Boat","Lil Yachty","The Lost Files","Favorite Tracks","Favorite","436902332","436902332"
"The Lost Files EP (feat. K$upreme)","Lil Yachty","The Lost Files","Favorite Tracks","Favorite","436902312","436902312"
"DipSet","Lil Yachty","Summer Songs 2","Favorite Tracks","Favorite","129308488","129308488"
"Shoot Out The Roof","Lil Yachty","Summer Songs 2","Favorite Tracks","Favorite","129308482","129308482"
"For Hot 97","Lil Yachty","Summer Songs 2","Favorite Tracks","Favorite","129308476","129308476"
"Dealbreaker Interlude","Harry Fraud","Blue / Green EP","Favorite Tracks","Favorite","143117534","143117534"
"Drip (feat. Jay Critch)","Polo Hayes","Drip (feat. Jay Critch)","Favorite Tracks","Favorite","615033542","615033542"
"Serotonin","Harry Fraud","The Coast","Favorite Tracks","Favorite","445692502","445692502"
"Hit A Lick","Harry Fraud","The Coast","Favorite Tracks","Favorite","445692442","445692442"
"How U Feel","Harry Fraud","Blue / Green EP","Favorite Tracks","Favorite","143117542","143117542"
"Yea Yea Yea (Maps)","A$AP Twelvyy","12","Favorite Tracks","Favorite","389301661","389301661"
"Brothers (feat. Smooky MarGielaa)","A$AP Twelvyy","12","Favorite Tracks","Favorite","389301721","389301721"
"Angelic Hoodrat","Kenny Mason","Angelic Hoodrat","Favorite Tracks","Favorite","829398682","829398682"
"Hit","Kenny Mason","Hit","Favorite Tracks","Favorite","783738922","783738922"
"243/237","HIM$","Briminal","Favorite Tracks","Favorite","819472802","819472802"
"King Kunta","Kendrick Lamar","To Pimp A Butterfly","Favorite Tracks","Favorite","97206060","97206060"
"Laurel Canyon","Chief Keef","Bang 3","Favorite Tracks","Favorite","105080994","105080994"
"I Just Wanna (feat. Mac Miller)","Chief Keef","Bang 3","Favorite Tracks","Favorite","105081010","105081010"
"Superheroes (feat. ASAP Rocky)","Chief Keef","Bang 3","Favorite Tracks","Favorite","105081000","105081000"
"Ski Mask","Smokepurpp","Ski Mask","Favorite Tracks","Favorite","1477825262","1477825262"
"Pasta","AJ Tracey","Lil Tracey - EP","Favorite Tracks","Favorite","137018498","137018498"
"Gunna Swag","Southside","Pre-Game","Favorite Tracks","Favorite","801241452","801241452"
"HAD ENOUGH (feat. Quavo & Offset)","Don Toliver","JACKBOYS","Favorite Tracks","Favorite","841897072","841897072"
"Who Dat Boy (feat. A$AP Rocky)","Tyler, The Creator","Flower Boy","Favorite Tracks","Favorite","384157601","384157601"
"6locc 6a6y","Lil Loaded","6locc 6a6y","Favorite Tracks","Favorite","825317992","825317992"
"untitled 03 | 05.28.2013.","Kendrick Lamar","untitled unmastered.","Favorite Tracks","Favorite","120380314","120380314"
"Swap It Out (feat. Lil Duke)","Lil Keed","Swap It Out (feat. Lil Duke)","Favorite Tracks","Favorite","760511192","760511192"
"Ride Wit You","Lil Keed","Long Live Mexico","Favorite Tracks","Favorite","694226012","694226012"
"Real Hood Baby (feat. Stickbaby)","Lil Keed","Long Live Mexico","Favorite Tracks","Favorite","694225952","694225952"
"Snake","Lil Keed","Long Live Mexico","Favorite Tracks","Favorite","694225922","694225922"
"Nameless","Lil Keed","Keed Talk To 'Em","Favorite Tracks","Favorite","602573752","602573752"
"HBS","Lil Keed","Long Live Mexico","Favorite Tracks","Favorite","694225892","694225892"
"Die Today","Young Thug","So Much Fun (Deluxe)","Favorite Tracks","Favorite","836871222","836871222"
"Hop Off A Jet (feat. Travis Scott)","Young Thug","So Much Fun (Deluxe)","Favorite Tracks","Favorite","836871212","836871212"
"With Them","Young Thug","Slime Season 3","Favorite Tracks","Favorite","121275002","121275002"
"Diamonds (feat. Gunna)","Young Thug","So Much Fun (Deluxe)","Favorite Tracks","Favorite","836871202","836871202"
"Molly Go Down","Octavian","Endorphins","Favorite Tracks","Favorite","693981842","693981842"
"Hallelujah","Chief Keef","Finally Rich","Favorite Tracks","Favorite","62892171","62892171"
"Kay Kay","Chief Keef","Finally Rich","Favorite Tracks","Favorite","62892175","62892175"
"That's It","Chief Keef","The Leek (Vol. 3)","Favorite Tracks","Favorite","113814906","113814906"
"The Mint (feat. Navy Blue)","Earl Sweatshirt","Some Rap Songs","Favorite Tracks","Favorite","594313702","594313702"
"Red Water","Earl Sweatshirt","Some Rap Songs","Favorite Tracks","Favorite","594313652","594313652"
"Jealous","Fredo Santana","Trappin' Ain't Dead","Favorite Tracks","Favorite","124293572","124293572"
"Neighbor (feat. Travis Scott)","Juicy J","Neighbor (feat. Travis Scott)","Favorite Tracks","Favorite","559481592","559481592"
"Home (KOD)","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467132","497467132"
"Let It Go","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376751","347376751"
"Workin’ Out - A Colors Show","JID","Workin’ Out - A Colors Show","Favorite Tracks","Favorite","803096512","803096512"
"Crown","Stormzy","Heavy Is The Head","Favorite Tracks","Favorite","829018512","829018512"
"Audacity (feat. Headie One)","Stormzy","Heavy Is The Head","Favorite Tracks","Favorite","829018502","829018502"
"Le Temps Passe","HIM$","Briminal","Favorite Tracks","Favorite","819472812","819472812"
"Potentiel","HIM$","Briminal","Favorite Tracks","Favorite","819472772","819472772"
"Let Me Know (I Wonder Why Freestyle)","Juice WRLD","Let Me Know (I Wonder Why Freestyle)","Favorite Tracks","Favorite","823440532","823440532"
"Bambi","Josman","Bambi","Favorite Tracks","Favorite","821409682","821409682"
"Futsal Shuffle 2020","Lil Uzi Vert","Futsal Shuffle 2020","Favorite Tracks","Favorite","831054332","831054332"
"Starving","Kevo Muney","Starving","Favorite Tracks","Favorite","413768062","413768062"
"Start Wit Me (feat. Gunna)","Roddy Ricch","Please Excuse Me for Being Antisocial","Favorite Tracks","Favorite","825987002","825987002"
"Accomplishments","Lil Yachty","Accomplishments","Favorite Tracks","Favorite","819326712","819326712"
"LIFE & DEATH","Lancey Foux","FRIEND OR FOUX","Favorite Tracks","Favorite","814609352","814609352"
"SO PSYKED!","Lancey Foux","FRIEND OR FOUX","Favorite Tracks","Favorite","814609342","814609342"
"WHERES LANCEY","Lancey Foux","FRIEND OR FOUX","Favorite Tracks","Favorite","814609332","814609332"
